Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.26      8.74     0.03                             norm2u3 (real.c:825 @ 4024d0)
  0.26      8.77     0.03                             rprj3 (real.c:617 @ 40717e)
  0.26      8.79     0.03                             rprj3 (real.c:617 @ 4071db)
  0.21      8.81     0.02                             comm3 (real.c:876 @ 402848)
  0.21      8.83     0.02                             comm3 (real.c:877 @ 402854)
  0.21      8.85     0.02                             comm3 (real.c:884 @ 402a23)
  0.21      8.87     0.02                             interp (real.c:670 @ 407c0e)
  0.21      8.89     0.02                             interp (real.c:694 @ 408083)
  0.21      8.91     0.02                             norm2u3 (real.c:827 @ 4024f0)
  0.21      8.93     0.02                             psinv (real.c:462 @ 406074)
  0.21      8.95     0.02                             psinv (real.c:463 @ 4060a3)
  0.21      8.97     0.02                             psinv (real.c:471 @ 406256)
  0.21      8.99     0.02                             resid (real.c:528 @ 405697)
  0.21      9.01     0.02                             resid (real.c:530 @ 40578e)
  0.21      9.03     0.02                             resid (real.c:537 @ 405ac6)
  0.21      9.05     0.02                             rprj3 (real.c:606 @ 406dbf)
  0.21      9.07     0.02                             rprj3 (real.c:618 @ 4071ee)
  0.21      9.09     0.02                             rprj3 (real.c:612 @ 407227)
  0.21      9.11     0.02                             vranlc (randdp.c:131 @ 40a72a)
  0.21      9.13     0.02                             vranlc (randdp.c:131 @ 40a74d)
  0.16      9.15     0.02                             interp (real.c:683 @ 407e32)
  0.16      9.16     0.02                             interp (real.c:681 @ 407e40)
  0.16      9.18     0.02                             resid (real.c:537 @ 405ab4)
  0.16      9.19     0.02                             rprj3 (real.c:612 @ 4071f6)
  0.10      9.20     0.01                             interp (real.c:668 @ 407c09)
  0.10      9.21     0.01                             interp (real.c:674 @ 407d67)
  0.10      9.22     0.01                             interp (real.c:686 @ 407f66)
  0.10      9.23     0.01                             interp (real.c:687 @ 407f6d)
  0.10      9.24     0.01                             interp (real.c:688 @ 407fd4)
  0.10      9.25     0.01                             norm2u3 (real.c:826 @ 4024fc)
  0.10      9.26     0.01                             psinv (real.c:460 @ 4060bc)
  0.10      9.27     0.01                             psinv (real.c:469 @ 406234)
  0.10      9.28     0.01                             psinv (real.c:470 @ 406238)
  0.10      9.29     0.01                             psinv (real.c:468 @ 40625e)
  0.10      9.30     0.01                             psinv (real.c:466 @ 406273)
  0.10      9.31     0.01                             resid (real.c:523 @ 4055c7)
  0.10      9.32     0.01                             resid (real.c:522 @ 405602)
  0.10      9.33     0.01                             resid (real.c:537 @ 40579f)
  0.10      9.34     0.01                             resid (real.c:538 @ 4057b8)
  0.10      9.35     0.01                             resid (real.c:528 @ 4057db)
  0.10      9.36     0.01                             resid (real.c:528 @ 4059f2)
  0.10      9.37     0.01                             resid (real.c:537 @ 405a39)
  0.10      9.38     0.01                             resid (real.c:538 @ 405a52)
  0.10      9.39     0.01                             resid (real.c:537 @ 405a8e)
  0.10      9.40     0.01                             resid (real.c:530 @ 405ac2)
  0.10      9.41     0.01                             resid (real.c:538 @ 405ace)
  0.10      9.42     0.01                             resid (real.c:528 @ 405add)
  0.10      9.43     0.01                             resid (real.c:530 @ 405b08)
  0.10      9.44     0.01                             rprj3 (real.c:610 @ 406def)
  0.10      9.45     0.01                             rprj3 (real.c:612 @ 4071ca)
  0.10      9.46     0.01                             rprj3 (real.c:613 @ 407208)
  0.10      9.47     0.01                             rprj3 (real.c:616 @ 40726a)
  0.10      9.48     0.01                             rprj3 (real.c:610 @ 40726f)
  0.10      9.49     0.01                             vranlc (randdp.c:130 @ 40a73e)
  0.10      9.50     0.01                             zran3 (real.c:969 @ 40357a)
  0.05      9.51     0.01                             interp (real.c:673 @ 407ca5)
  0.05      9.51     0.01                             interp (real.c:675 @ 407d48)
  0.05      9.52     0.01                             interp (real.c:681 @ 407e65)
  0.05      9.52     0.01                             interp (real.c:683 @ 407e69)
  0.05      9.53     0.01                             interp (real.c:673 @ 407f41)
  0.05      9.53     0.01                             interp (real.c:687 @ 407f48)
  0.05      9.54     0.01                             interp (real.c:688 @ 407f85)
  0.05      9.54     0.01                             interp (real.c:695 @ 40803e)
  0.05      9.55     0.01                             interp (real.c:693 @ 408048)
  0.05      9.55     0.01                             interp (real.c:692 @ 408065)
  0.05      9.56     0.01                             interp (real.c:693 @ 40806c)
  0.05      9.56     0.01                             norm2u3 (real.c:825 @ 402500)
  0.05      9.57     0.01                             psinv (real.c:469 @ 40625a)
  0.05      9.57     0.01                             randlc (randdp.c:47 @ 40a606)
  0.05      9.58     0.01                             randlc (randdp.c:48 @ 40a60a)
  0.05      9.58     0.01                             resid (real.c:529 @ 4054b6)
